2019-06-02 23:13:21 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   1,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 300.0; Tile: START
2019-06-02 23:13:21 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   2,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 299.0; Tile: ROAD
2019-06-02 23:13:21 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   2,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 299.0; Tile: ROAD
2019-06-02 23:13:21 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   1,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 298.0; Tile: START
2019-06-02 23:13:21 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,2; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 297.0; Tile: ROAD
2019-06-02 23:13:21 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,3; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 296.0; Tile: ROAD
2019-06-02 23:13:21 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,4; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 295.0; Tile: ROAD
2019-06-02 23:13:21 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 294.0; Tile: ROAD
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,6; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 293.0; Tile: ROAD
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,7; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 292.0; Tile: ROAD
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,8; Parcels:      0; Health: 295.0; Health Usage: 300.0; Fuel: 291.0; Tile: TRAP(lava)
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,9; Parcels:      0; Health: 290.0; Health Usage: 300.0; Fuel: 290.0; Tile: TRAP(lava)
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,10; Parcels:      0; Health: 285.0; Health Usage: 300.0; Fuel: 289.0; Tile: TRAP(lava)
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,11; Parcels:      0; Health: 285.0; Health Usage: 300.0; Fuel: 288.0; Tile: ROAD
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,12; Parcels:      0; Health: 285.0; Health Usage: 300.0; Fuel: 287.0; Tile: ROAD
2019-06-02 23:13:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,13; Parcels:      0; Health: 285.0; Health Usage: 300.0; Fuel: 286.0; Tile: ROAD
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,14; Parcels:      0; Health: 280.0; Health Usage: 300.0; Fuel: 285.0; Tile: TRAP(lava)
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,15; Parcels:      0; Health: 275.0; Health Usage: 300.0; Fuel: 284.0; Tile: TRAP(lava)
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,16; Parcels:      0; Health: 270.0; Health Usage: 300.0; Fuel: 283.0; Tile: TRAP(lava)
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,17; Parcels:      0; Health: 265.0; Health Usage: 300.0; Fuel: 282.0; Tile: TRAP(lava)
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,18; Parcels:      0; Health: 260.0; Health Usage: 300.0; Fuel: 281.0; Tile: TRAP(lava)
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,19; Parcels:      0; Health: 255.0; Health Usage: 300.0; Fuel: 280.0; Tile: TRAP(lava)
2019-06-02 23:13:23 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,20; Parcels:      0; Health: 250.0; Health Usage: 300.0; Fuel: 279.0; Tile: TRAP(lava)
2019-06-02 23:13:24 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,21; Parcels:      0; Health: 245.0; Health Usage: 300.0; Fuel: 278.0; Tile: TRAP(lava)
